Date,Transaction_Type,Currency,Amount_GBP,Amount_Crypto,Description
2020-03-17,Sent,XRP,-495.16,-4000.00,Sent XRP
2020-03-17,Sent,ETC,-38.79,-10.00,Sent ETC
2020-03-17,Sent,LTC,-115.01,-4.03,Sent LTC
2020-03-17,Sent,LTC,-28.96,-1.00,Sent LTC
2020-03-17,Sent,XRP,-37.04,-300.00,Sent XRP
2020-03-17,Sent,XRP,-124.76,-1000.00,Sent XRP
2020-03-16,Sent,BCH,-66.83,-0.50,Sent BCH
2020-03-16,Sent,XLM,-27.84,-1000.00,Sent XLM
2020-03-16,Sent,ETC,-35.64,-10.00,Sent ETC
2020-03-16,Sent,LTC,-26.22,-1.00,Sent LTC
2020-03-16,Sent,BTC,-401.90,-0.10,Sent BTC
2020-03-16,Sent,ETH,-89.25,-1.00,Sent ETH
2020-03-16,Sent,XRP,-113.63,-1000.00,Sent XRP
2020-03-08,Received,BTC,44.23,0.00704,Received BTC
2020-03-08,Converted,BTC,-158.66,-0.0253,Converted BTC
2020-03-08,Converted,ETH,158.04,1.00,Converted to ETH
2020-03-08,Converted,BTC,-997.24,-0.159,Converted BTC
2020-03-08,Converted,XRP,987.16,6375.38,Converted to XRP
2020-02-20,Converted,BTC,-71.92,-0.00967,Converted BTC
2020-02-20,Converted,XLM,71.19,1316.95,Converted to XLM
2020-02-18,Bought,XRP,228.41,1000.00,Bought XRP
2020-02-12,Bought,XRP,230.45,1000.00,Bought XRP
2020-02-12,Received,BTC,26.07,0.00328,Received BTC
2020-01-29,Received,BTC,32.90,0.00458,Received BTC
2020-01-26,Converted,BCH,-259.39,-0.981,Converted BCH
2020-01-26,Converted,XRP,256.94,1482.82,Converted to XRP
2020-01-25,Bought,XRP,300.00,1712.76,Bought XRP
2020-01-22,Converted,BTC,-104.95,-0.0157,Converted BTC
2020-01-22,Converted,XRP,103.87,575.03,Converted to XRP
2020-01-22,Converted,BTC,-220.23,-0.033,Converted BTC
2020-01-22,Converted,XRP,217.95,1206.01,Converted to XRP
2020-01-18,Converted,BTC,-353.49,-0.0521,Converted BTC
2020-01-18,Converted,ETC,344.48,50.13,Converted to ETC
2020-01-17,Converted,ETC,-709.03,-100.30,Converted ETC
2020-01-17,Converted,BTC,701.82,0.104,Converted to BTC
2020-01-08,Bought,ETH,10.00,0.08,Bought ETH
2020-01-07,Received,BTC,29.07,0.00475,Received BTC
2019-12-23,Bought,BTC,50.00,0.00818,Bought BTC
2019-12-23,Bought,BTC,500.00,0.0821,Bought BTC
2019-12-16,Received,BTC,80.12,0.0155,Received BTC
2019-11-18,Converted,ETC,-19.92,-5.58,Converted ETC
2019-11-18,Converted,BAT,19.93,94.47,Converted to BAT
2019-11-18,Converted,LTC,-47.98,-1.05,Converted LTC
2019-11-18,Converted,XRP,47.49,234.67,Converted to XRP
2019-11-18,Converted,ETH,-149.97,-1.06,Converted ETH
